dataset,target,constant_method,demographics_only_mae,constant_mae,n_subjects,n_measurements,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
BUT PPG,dbp,outer_fit_participant_weighted_mean,6.353723344380747,6.637040181097905,38,66,-0.28331683671715974,-0.8803735730823057,0.314404853222501,0.829,participant_paired_percentile_fixed_oof,10000,0.95,3519766437
BUT PPG,sbp,outer_fit_participant_weighted_mean,8.381072941994198,12.29494906621392,38,66,-3.913876124219724,-6.2165436577137125,-1.723502559970236,0.9997,participant_paired_percentile_fixed_oof,10000,0.95,1018492204
PPG-BP,dbp,outer_fit_participant_weighted_mean,8.569516370805523,8.781937674197948,219,219,-0.2124213033924255,-0.49935443974970745,0.07592488128813903,0.9215,participant_paired_percentile_fixed_oof,10000,0.95,1819775855
PPG-BP,sbp,outer_fit_participant_weighted_mean,13.95000131706078,16.214760866986893,219,219,-2.2647595499261133,-3.393278715932946,-1.1634162625413997,1.0,participant_paired_percentile_fixed_oof,10000,0.95,4154862120
PulseDB-MIMIC,dbp,outer_fit_participant_weighted_mean,9.872026487796079,10.41475106088503,300,3000,-0.5427245730889514,-0.8696085629039877,-0.2089172107561013,0.999,participant_paired_percentile_fixed_oof,10000,0.95,3020928604
PulseDB-MIMIC,sbp,outer_fit_participant_weighted_mean,18.79041810730001,18.787121009702794,300,3000,0.0032970975972213407,-0.054179790908881746,0.06256233539231489,0.4546,participant_paired_percentile_fixed_oof,10000,0.95,1610075045
PulseDB-Vital,dbp,outer_fit_participant_weighted_mean,10.168149503320262,10.20913714585198,300,3000,-0.04098764253171745,-0.11800501736246248,0.035602393886142884,0.854,participant_paired_percentile_fixed_oof,10000,0.95,1775034022
PulseDB-Vital,sbp,outer_fit_participant_weighted_mean,16.785105916973187,16.853722528161736,300,3000,-0.06861661118854906,-0.26721106047007076,0.13719849227447448,0.7423,participant_paired_percentile_fixed_oof,10000,0.95,3510830399
BUT PPG,dbp,outer_fit_participant_weighted_median,6.353723344380747,6.868421052631579,38,66,-0.514697708250833,-1.0903933937712085,0.06374940315845122,0.9621,participant_paired_percentile_fixed_oof,10000,0.95,2775834645
BUT PPG,sbp,outer_fit_participant_weighted_median,8.381072941994198,12.31578947368421,38,66,-3.9347165316900123,-6.191414575587684,-1.743315573671179,1.0,participant_paired_percentile_fixed_oof,10000,0.95,4290535457
PPG-BP,dbp,outer_fit_participant_weighted_median,8.569516370805523,8.689497716894977,219,219,-0.11998134608945442,-0.4495512363565773,0.21078073963689875,0.7572,participant_paired_percentile_fixed_oof,10000,0.95,510480058
PPG-BP,sbp,outer_fit_participant_weighted_median,13.95000131706078,16.15068493150685,219,219,-2.2006836144460684,-3.3468385717196023,-1.0695494037275826,0.9999,participant_paired_percentile_fixed_oof,10000,0.95,3926822183
PulseDB-MIMIC,dbp,outer_fit_participant_weighted_median,9.872026487796079,10.365132486326456,300,3000,-0.49310599853037784,-0.83947036326121,-0.14465305364230344,0.9959,participant_paired_percentile_fixed_oof,10000,0.95,2228678531
PulseDB-MIMIC,sbp,outer_fit_participant_weighted_median,18.79041810730001,18.759020922702693,300,3000,0.03139718459731869,-0.10801382783715524,0.16825378089020077,0.3249,participant_paired_percentile_fixed_oof,10000,0.95,890283586
PulseDB-Vital,dbp,outer_fit_participant_weighted_median,10.168149503320262,10.154724488103135,300,3000,0.013425015217126971,-0.11739761788182206,0.14690302027697666,0.4178,participant_paired_percentile_fixed_oof,10000,0.95,3046926891
PulseDB-Vital,sbp,outer_fit_participant_weighted_median,16.785105916973187,16.737494301462913,300,3000,0.04761161551027333,-0.19578306065263307,0.2956019013121276,0.3465,participant_paired_percentile_fixed_oof,10000,0.95,1687428757
