contract_version,dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,delta_definition,training_seed_treatment,n_subjects,n_measurements_per_seed,n_training_seeds,training_seeds,reference_seed_mode,seed_17_delta_mae,seed_23_delta_mae,seed_42_delta_mae,seed_delta_mae_sample_sd,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
source-faithful-v3,BUT PPG,dbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,-0.22540535530522132,-0.09131165970192201,-0.25459572713032774,0.08707744032737222,-0.19043758071249037,-0.4808851524163489,0.10762782358874737,0.896,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,4034659373
source-faithful-v3,BUT PPG,dbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,-0.09302463656208572,-0.1775615650836365,-0.11344328888772076,0.044110782863506816,-0.1280098301778143,-0.2996361223690696,0.03804121587741935,0.9288,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2765441021
source-faithful-v3,BUT PPG,dbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,-0.03893795859958765,-0.0899612122629559,-0.07250151352353852,0.02593172353701383,-0.06713356146202736,-0.20924306974662707,0.0776953386078054,0.8189,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2215043427
source-faithful-v3,BUT PPG,dbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,0.00461095915666925,-0.011845519524517593,0.0006917726524209767,0.008596117423672193,-0.002180929238475789,-0.013436869339662975,0.008328712696141863,0.6472,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2411454049
source-faithful-v3,BUT PPG,sbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,0.5011103784575055,-1.329545330023889,-0.2840664775097337,0.9184070492975351,-0.3708338096920391,-1.0078366750553567,0.25075367044002017,0.8758,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,4226730108
source-faithful-v3,BUT PPG,sbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,-0.5781924379021953,-0.7998663582348582,-0.6745875882304828,0.1111501403330004,-0.6842154614558456,-1.1917298985101101,-0.2173614604944102,0.9994,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1762758223
source-faithful-v3,BUT PPG,sbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,-0.6813338648388529,-0.6054013350401778,-0.5766915471129732,0.05406788273934862,-0.6211422489973346,-1.0996372868437139,-0.15246311293973905,0.9964,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3463137970
source-faithful-v3,BUT PPG,sbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,38,66,3,17/23/42,matched_training_seed,0.07120560385988328,0.04667108794914878,0.014033432765624585,0.028681632201590555,0.043970041524885546,-0.009485000715350399,0.09785287109244496,0.0543,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1732982351
source-faithful-v3,PPG-BP,dbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,-0.26079487975646903,-0.004351252663623477,-0.20798092389649928,0.13541152758444802,-0.15770901877219726,-0.29157052667427763,-0.026424223680872935,0.9916,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3180323025
source-faithful-v3,PPG-BP,dbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,-0.11585254642313611,-0.12721907153729106,-0.11158887823439934,0.008079600879995276,-0.1182201653982755,-0.2225510255580923,-0.013781191057839221,0.9865,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,859175463
