dataset,target,model,model_label,demographic_fields,demographic_lift_mmhg,waveform_lift_beyond_demographics_mmhg,combined_better_than_both_components
BUT PPG,dbp,anyppg,AnyPPG,age/sex/BMI,0.16356506160066103,-0.6968636042550961,False
BUT PPG,dbp,handcrafted_ppg,PPG features,age/sex/BMI,-0.11742796870575041,-0.36353904139800397,False
BUT PPG,dbp,papagei_p,PaPaGei-P,age/sex/BMI,0.2963283223065847,-0.6034623266321623,False
BUT PPG,dbp,papagei_s,PaPaGei-S,age/sex/BMI,0.2640734531383351,0.057428784691167994,True
BUT PPG,dbp,pulseppg,Pulse-PPG,age/sex/BMI,0.5947217382242658,-0.27960579190619883,False
BUT PPG,sbp,anyppg,AnyPPG,age/sex/BMI,1.4823021172165183,-4.130620001338363,False
BUT PPG,sbp,handcrafted_ppg,PPG features,age/sex/BMI,3.1986847909114573,-0.5525738668607741,False
BUT PPG,sbp,papagei_p,PaPaGei-P,age/sex/BMI,3.5356825560628042,-0.8139862707139862,False
BUT PPG,sbp,papagei_s,PaPaGei-S,age/sex/BMI,3.9235722631122143,0.26173316395601165,True
BUT PPG,sbp,pulseppg,Pulse-PPG,age/sex/BMI,2.561250744477352,-1.869084216879612,False
PPG-BP,dbp,anyppg,AnyPPG,age/sex/BMI,0.5033621385615942,0.727629418328031,True
PPG-BP,dbp,handcrafted_ppg,PPG features,age/sex/BMI,0.4327013758936734,0.5080127028072995,True
PPG-BP,dbp,papagei_p,PaPaGei-P,age/sex/BMI,0.43200431694806635,0.4555580974651601,True
PPG-BP,dbp,papagei_s,PaPaGei-S,age/sex/BMI,0.47715943936755884,0.4917570117613999,True
PPG-BP,dbp,pulseppg,Pulse-PPG,age/sex/BMI,0.7373139328162094,0.7960092057683201,True
PPG-BP,sbp,anyppg,AnyPPG,age/sex/BMI,0.5860590070518785,1.7798547466160863,True
PPG-BP,sbp,handcrafted_ppg,PPG features,age/sex/BMI,0.5737650385739453,1.2561959037049575,True
PPG-BP,sbp,papagei_p,PaPaGei-P,age/sex/BMI,1.0628275483293883,1.1552132694695265,True
PPG-BP,sbp,papagei_s,PaPaGei-S,age/sex/BMI,0.9457433745634891,1.0662851147278138,True
PPG-BP,sbp,pulseppg,Pulse-PPG,age/sex/BMI,0.6222080886822225,0.986322801882719,True
PulseDB-MIMIC,dbp,anyppg,AnyPPG,age/sex,0.2894596243909901,0.6098029946126516,True
PulseDB-MIMIC,dbp,handcrafted_ppg,PPG features,age/sex,0.2834964405836042,0.24642947417192043,True
PulseDB-MIMIC,dbp,papagei_p,PaPaGei-P,age/sex,0.3323923831144103,-0.02943251170640257,False
PulseDB-MIMIC,dbp,papagei_s,PaPaGei-S,age/sex,0.3038820109735474,0.02714423733619919,True
PulseDB-MIMIC,dbp,pulseppg,Pulse-PPG,age/sex,0.3183600158044062,0.22020954080159527,True
PulseDB-MIMIC,sbp,anyppg,AnyPPG,age/sex,0.02207669171634824,1.9304349876898572,True
PulseDB-MIMIC,sbp,handcrafted_ppg,PPG features,age/sex,-0.09325017165279448,1.198346661580865,False
PulseDB-MIMIC,sbp,papagei_p,PaPaGei-P,age/sex,-0.01509200193469075,0.42617936367552967,False
PulseDB-MIMIC,sbp,papagei_s,PaPaGei-S,age/sex,-0.01715863708584186,0.6403230640662033,False
PulseDB-MIMIC,sbp,pulseppg,Pulse-PPG,age/sex,-0.008346195258094786,1.1388083397282014,False
PulseDB-Vital,dbp,anyppg,AnyPPG,age/sex/BMI,0.1799272817803944,1.6454297224653487,True
PulseDB-Vital,dbp,handcrafted_ppg,PPG features,age/sex/BMI,0.2263016136687775,1.3837618275212116,True
PulseDB-Vital,dbp,papagei_p,PaPaGei-P,age/sex/BMI,0.1973648843444055,0.6758338338853352,True
PulseDB-Vital,dbp,papagei_s,PaPaGei-S,age/sex/BMI,0.1810079812272155,0.610979462679582,True
PulseDB-Vital,dbp,pulseppg,Pulse-PPG,age/sex/BMI,0.19678088340080596,1.0463345006700968,True
PulseDB-Vital,sbp,anyppg,AnyPPG,age/sex/BMI,0.12102756796189496,3.2444834778885894,True
PulseDB-Vital,sbp,handcrafted_ppg,PPG features,age/sex/BMI,0.06070856161491714,2.4293460198339063,True
PulseDB-Vital,sbp,papagei_p,PaPaGei-P,age/sex/BMI,0.08144656145166583,1.8344547323750715,True
PulseDB-Vital,sbp,papagei_s,PaPaGei-S,age/sex/BMI,0.1368547753280614,1.1017357326671462,True
PulseDB-Vital,sbp,pulseppg,Pulse-PPG,age/sex/BMI,0.10063006909388438,2.5796290425914976,True
