dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,n_subjects,n_measurements,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
BUT PPG,dbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,-0.42122144482088125,-0.7441538631465183,-0.12046032586364015,0.9977,participant_paired_percentile_fixed_oof,10000,0.95,1091374812
BUT PPG,dbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex/BMI,38,66,-0.43180075560216613,-0.922424897720444,0.038998411168766324,0.9615,participant_paired_percentile_fixed_oof,10000,0.95,708061937
BUT PPG,dbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,0.36045389350569895,-0.3385405704665484,1.084625669479363,0.1619,participant_paired_percentile_fixed_oof,10000,0.95,3783605814
BUT PPG,dbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,-0.43795494635327126,-0.8761821637876986,-0.009290918318871388,0.9766,participant_paired_percentile_fixed_oof,10000,0.95,869661161
BUT PPG,dbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,-0.5350876669896572,-1.1133768376712672,0.009469791891984854,0.9725,participant_paired_percentile_fixed_oof,10000,0.95,1191791201
BUT PPG,sbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,-1.8831594907316878,-4.022298510155118,0.2401554152416153,0.9596,participant_paired_percentile_fixed_oof,10000,0.95,2207891069
BUT PPG,sbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex/BMI,38,66,-3.5444945644260897,-5.396642135268857,-1.7226901444402465,1.0,participant_paired_percentile_fixed_oof,10000,0.95,3779880354
BUT PPG,sbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,-3.6445372637881737,-5.95424951624265,-1.446644673810873,0.9996,participant_paired_percentile_fixed_oof,10000,0.95,445395398
BUT PPG,sbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,-3.8864733834889895,-6.111433239406575,-1.780355502072221,0.9999,participant_paired_percentile_fixed_oof,10000,0.95,2885941854
BUT PPG,sbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,38,66,-1.8739237051693076,-4.36633334451127,0.5810790833873183,0.9288,participant_paired_percentile_fixed_oof,10000,0.95,2686009895
PPG-BP,dbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-0.6090902456552744,-0.9554757218223173,-0.25451694102040706,0.9997,participant_paired_percentile_fixed_oof,10000,0.95,2121523688
PPG-BP,dbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex/BMI,219,219,-0.6069423978983887,-1.0498981507388205,-0.150005722921301,0.9956,participant_paired_percentile_fixed_oof,10000,0.95,2220831514
PPG-BP,dbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-0.07022507693471698,-0.38522961219354546,0.2418315734400785,0.6803,participant_paired_percentile_fixed_oof,10000,0.95,2067962785
PPG-BP,dbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-0.2488128680222328,-0.5517419917642017,0.06128263266862406,0.9402,participant_paired_percentile_fixed_oof,10000,0.95,125248630
PPG-BP,dbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-0.3265514937374171,-0.7201234978919027,0.07129825484411162,0.9488,participant_paired_percentile_fixed_oof,10000,0.95,1980506434
PPG-BP,sbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-0.41448169263341933,-1.2987237415991046,0.5385354409850964,0.8197,participant_paired_percentile_fixed_oof,10000,0.95,82035760
PPG-BP,sbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex/BMI,219,219,-0.8272972660585731,-1.6911449424065672,0.03692936836694955,0.9707,participant_paired_percentile_fixed_oof,10000,0.95,837717709
PPG-BP,sbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-2.070414719490305,-3.0947589705765917,-1.094027792062499,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2848894962
PPG-BP,sbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-1.9896567199266189,-3.093877668767249,-0.9017373931227586,1.0,participant_paired_percentile_fixed_oof,10000,0.95,1707038409
PPG-BP,sbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,219,219,-1.3505768290945008,-2.33972764395936,-0.38530760677816767,0.9961,participant_paired_percentile_fixed_oof,10000,0.95,2978597357
PulseDB-MIMIC,dbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.2894532751117343,-0.4369351880722345,-0.1430196003981783,1.0,participant_paired_percentile_fixed_oof,10000,0.95,4072455545
PulseDB-MIMIC,dbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex,300,3000,-0.2518528684260406,-0.4923161850440725,-0.0104876614270066,0.9792,participant_paired_percentile_fixed_oof,10000,0.95,2884081089
PulseDB-MIMIC,dbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.33239550309438426,-0.5090080861365156,-0.1528569734138798,0.9996,participant_paired_percentile_fixed_oof,10000,0.95,2695535776
PulseDB-MIMIC,dbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.3039006942410298,-0.48233126752853683,-0.1292712778351844,0.9991,participant_paired_percentile_fixed_oof,10000,0.95,2733207165
PulseDB-MIMIC,dbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.3182091933341644,-0.4886354950578011,-0.14994062718872517,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2568569060
PulseDB-MIMIC,sbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.022080570875118256,-0.061858905837272896,0.018408801366058207,0.8609,participant_paired_percentile_fixed_oof,10000,0.95,3847808021
PulseDB-MIMIC,sbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex,300,3000,-0.06279016142816632,-0.1796737480315013,0.05205794718379848,0.8599,participant_paired_percentile_fixed_oof,10000,0.95,3261363537
PulseDB-MIMIC,sbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,0.015095060890122828,-0.008219219218432003,0.03868885463073789,0.1,participant_paired_percentile_fixed_oof,10000,0.95,3393937522
PulseDB-MIMIC,sbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,0.017154489264316317,-0.013030007063805235,0.04801696762234754,0.136,participant_paired_percentile_fixed_oof,10000,0.95,3578824420
PulseDB-MIMIC,sbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,0.008394579493791566,-0.019454631767963592,0.03599119063457951,0.2791,participant_paired_percentile_fixed_oof,10000,0.95,1931484541
PulseDB-Vital,dbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.1799224275235206,-0.2931718400973252,-0.0697259301395523,0.9995,participant_paired_percentile_fixed_oof,10000,0.95,1546030939
