dataset,target,condition,raw_unstandardized_mae,stabilized_mae,stabilized_mae_seed_sd,stabilized_minus_raw_mae,matched_frozen_condition,matched_frozen_mae,stabilized_minus_frozen_mae,stabilized_r2,stabilized_prediction_ci_low,stabilized_prediction_ci_high
BUT PPG,dbp,finetuned,7.228914679627183,6.606291361652102,0.0069359599456662,-0.6226233179750809,frozen,7.2280508745112115,-0.6217595128591098,-0.0407697209147031,5.338106543626263,8.018371896452129
BUT PPG,dbp,finetuned_demographics,7.617209569266333,6.604110432413626,0.0025240128200042,-1.0130991368527065,frozen_demographics,6.633329136286944,-0.02921870387331804,-0.0408936086224887,5.360885012722739,8.009659814334029
BUT PPG,sbp,finetuned,13.836412262196369,12.22034169021618,0.0102905978382188,-1.6160705719801882,frozen,12.811407903351164,-0.5910662131349831,-0.0310707407595068,10.011885245410976,14.556834616057204
BUT PPG,sbp,finetuned_demographics,15.889697654270316,12.264311731741063,0.0187099455245191,-3.6253859225292526,frozen_demographics,10.25015715887381,2.0141545728672536,-0.032490030748591,10.029474250267691,14.584470232100903
PPG-BP,dbp,finetuned,21.499221486555047,8.846308547437848,0.0341075857029862,-12.652912939117199,frozen,8.510821097853412,0.335487449584436,-0.0238755757952119,7.935361686301373,9.767270044723489
PPG-BP,dbp,finetuned_demographics,13.2519243079655,8.860669294266868,0.0335018554644388,-4.391255013698631,frozen_demographics,7.773507165037202,1.0871621292296663,-0.0271701827402556,7.977207261910196,9.746858166882294
PPG-BP,sbp,finetuned,32.258373213089804,16.218999988330797,0.012746362166178,-16.039373224759007,frozen,13.585886603860285,2.633113384470512,-0.0024825481665982,14.66385436684424,17.888234387392185
PPG-BP,sbp,finetuned_demographics,27.26898086555048,16.214184212582442,0.0086043066950684,-11.054796652968037,frozen_demographics,12.963678515178062,3.25050569740438,-0.0024131546424059,14.663687390829525,17.82538270273972
PulseDB-MIMIC,dbp,finetuned,11.725726119224598,9.999883032861588,0.0301125883282977,-1.7258430863630103,frozen,9.970176962798892,0.0297060700626961,0.0893751910612916,9.301097833263098,10.75269317368222
PulseDB-MIMIC,dbp,finetuned_demographics,11.184325202999412,9.990263626966282,0.0162873087405687,-1.1940615760331301,frozen_demographics,9.651816946994488,0.3384466799717938,0.0820434019678875,9.273564644331108,10.783280267213502
PulseDB-MIMIC,sbp,finetuned,20.53806093622666,18.39821864603204,0.1386348994289169,-2.139842290194622,frozen,17.64326357231372,0.7549550737183175,0.0294896463373527,17.362921599634916,19.44203760768076
PulseDB-MIMIC,sbp,finetuned_demographics,20.48071952016835,18.34763505292764,0.0482047910908531,-2.1330844672407103,frozen_demographics,17.651609767571816,0.6960252853558231,0.0304356057393866,17.3140992679747,19.36740947851055
PulseDB-Vital,dbp,finetuned,10.946203761485634,9.236400832169112,0.0415044417620318,-1.7098029293165222,frozen,9.318595886050977,-0.08219505388186477,0.1723133298057347,8.69334723994427,9.761920095975114
PulseDB-Vital,dbp,finetuned_demographics,10.58021259936057,9.245834182555546,0.0518323811552364,-1.3343784168050234,frozen_demographics,9.12181500265017,0.12401917990537648,0.1709313084258853,8.722509168911087,9.78738003271828
PulseDB-Vital,sbp,finetuned,16.568976789725994,14.123863330840022,0.0366181016844939,-2.445113458885972,frozen,14.306106943475577,-0.18224361263555444,0.2791538697395913,13.34507215172753,14.903650065361887
PulseDB-Vital,sbp,finetuned_demographics,16.759988612941324,14.068528120555667,0.0505766952283781,-2.691460492385657,frozen_demographics,14.205476874381691,-0.13694875382602412,0.2863608117703466,13.353751595764203,14.84258004385645
