dataset,model,condition,target,preprocessing_policy,padding_policy,padding_required,pretraining_overlap,source_fidelity,contract_version,demographic_fields,seed,n_subjects,n_measurements,mae,rmse,bias,error_std,r2,pearson,calibration_slope,calibration_intercept,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,bias_ci_low,bias_ci_high,error_std_ci_low,error_std_ci_high,r2_ci_low,r2_ci_high,pearson_ci_low,pearson_ci_high,calibration_slope_ci_low,calibration_slope_ci_high,calibration_intercept_ci_low,calibration_intercept_ci_high,n_seeds,aggregation_mode,bootstrap_mode
BUT PPG,anyppg,finetuned,dbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,none,17,38.0,66.0,6.86941076980797,8.408067282300667,-0.9915759882707929,8.349393539843462,-0.14026427549024856,-0.16756096129974404,-0.751634058164443,132.33279050334573,5.619282119012681,8.323025745294487,6.876858021637531,9.951392295150116,-3.545984927659168,1.4532969545165493,6.793521208439225,9.796494284072352,-0.40953875558997394,-0.01732760003955423,-0.4284099451206027,0.10833760100622394,-1.926934542432059,0.5311966160593952,36.34158087102947,219.93585937047143,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned,dbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,none,23,38.0,66.0,6.594700537788162,8.035736263424939,0.95710854170223,7.978533733382546,-0.041512557490431146,-0.05239945751282332,-0.4391998143542133,109.76167410542759,5.319305117163526,7.909275692517553,6.523402912166234,9.467029050356988,-1.259690871506392,3.255420822522465,6.390214415011034,9.287909040536078,-0.20831657527524547,0.010382001461067415,-0.31246408052212704,0.20819300905658414,-2.4663564801914344,1.9703113114211643,-76.57872998540836,265.8867766944971,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned,dbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,none,42,38.0,66.0,6.587861867438629,8.042385706149286,1.5230576107150895,7.8968514840357225,-0.04323694047950877,0.03841413955992621,0.3101916576624348,51.93484140155769,5.343225271608185,7.901096451549164,6.571902969006286,9.422819641261174,-0.7607125926472419,3.806992255750434,6.33086653879878,9.259074712546528,-0.2608584556235152,0.03488206375395094,-0.2724280757434847,0.3531811628746101,-1.8043589802727624,3.3032177509427867,-179.92074101039424,216.40304692072516,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned,sbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,none,17,38.0,66.0,12.50880120692878,14.963827638704071,1.0362674603556168,14.927902979033995,-0.05092487233150966,-0.1546782212200279,-1.4120959857321251,294.5329713873663,10.124588249775913,14.80164855772606,12.457366507060286,17.312338658584984,-3.1012743013009985,5.324721746692678,12.230290667654085,17.0399571614976,-0.22314780219501337,0.006791729502477013,-0.4630345353083956,0.14450680570358954,-3.9989389464885416,1.3623397279224174,-44.945400647024094,612.267496552637,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned,sbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,none,23,38.0,66.0,13.189805632882578,15.770860898174972,1.4489692627965238,15.704156823753866,-0.1673392245839811,-0.22852028417910708,-0.9960895801238734,243.968187169642,10.87132331047155,15.665146434466624,13.226033546095733,18.14340132573298,-3.402121809503783,6.300533129157302,13.032310877630586,17.884600756498706,-0.43383494148486756,-0.055599511472959544,-0.45710712661090647,0.014365336844688412,-1.995338842435638,0.06858578358065513,115.04952399595626,366.93268854782,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned,sbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,none,42,38.0,66.0,12.377696785073917,15.054034082977111,0.7970506714616534,15.032918958025386,-0.06363364447780984,-0.10570253742605358,-0.651281342383593,201.14978733086383,10.142027790257918,14.684145104511948,12.602212707070619,17.30241451763911,-3.4000896980416733,5.406604149027239,12.421444233079127,17.116130955230453,-0.2641893898595645,0.015014231026304763,-0.37419283005105825,0.1596311944246807,-2.1171111274106633,1.0763903005338824,-9.000948159815763,382.24148888510666,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned_demographics,dbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,17,38.0,66.0,6.6440054145027485,8.093386940650737,-0.23593325414351884,8.08994732187331,-0.056510384298172456,-0.16731148288153247,-1.3732628111629446,179.98152100004748,5.413168524747746,8.00130632102237,6.631009407700181,9.501067839421829,-2.722005352059663,2.1400289087994104,6.547366672419796,9.398824448412356,-0.22370383047420914,0.004071104861294273,-0.44399219842285115,0.13329989148717525,-3.7413546525812995,1.1019444794908733,-10.205887269366203,360.49973817719444,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned_demographics,dbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,23,38.0,66.0,6.50338887808624,7.806549843813628,0.0685318725820967,7.806249025389016,0.017049981011997728,0.13088072580578777,0.9848922543055116,1.080294590046864,5.304620599335317,7.716473430191825,6.3600256778598885,9.182024951594387,-2.1693896457807575,2.271964555272553,6.245419153307765,9.070192946820816,-0.11469337371972631,0.065230930984048,-0.1398077502376592,0.37189270129238816,-0.9438097149258008,3.1630629568123108,-165.21470308148878,147.5446676063841,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned_demographics,dbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,42,38.0,66.0,6.333266140308301,7.63620625725811,0.0381592156023057,7.636110913131928,0.05947907526341589,0.2692343202035882,1.733813043120542,-55.816641353331946,5.2111463468157355,7.5706432340058845,6.27780860685946,8.973118736560778,-2.2803323793370853,2.2534656142378964,6.203371004808387,8.884348074460371,-0.08698062610289362,0.1099928932097911,0.016709199348553527,0.48656844250800535,0.09600473892775478,3.512279597847521,-190.77598823207188,69.23414490907668,1,single_neural_seed,participant_resample_within_seed
BUT PPG,anyppg,finetuned_demographics,sbp,source_consistent_filter_resample_zscore_adaptation,none,False,none,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,17,38.0,66.0,13.009911585386284,15.691295752887433,0.24507091036832213,15.689381844211532,-0.15559031326797523,-0.06771766024459293,-0.2038767696738856,146.32099178092403,10.698114375546455,15.443925251405275,13.324334791502125,18.04881030353093,-4.541979769420077,4.9769484778030675,13.114210921364577,17.906493175188107,-0.45648031956893637,0.016181774119507563,-0.3057373912257177,0.20142959355296577,-0.8871297789722596,0.7216789540656494,35.83521335672064,230.9399551418886,1,single_neural_seed,participant_resample_within_seed
